Dataset Size,Bubble,Insertion,Merge
8000,555.545,186.783,11.6014,
8000,555.439,190.393,11.6933,
8000,553.818,191.359,11.6551,
8000,547.146,191.228,11.6871,
8000,556.513,188.489,11.6073,
8000,552.223,186.006,11.6895,
8200,582.015,199.832,11.9878,
8200,588.986,200.081,11.9738,
8200,573.248,190.745,11.7401,
8200,569.082,195.431,11.8597,
8200,578.135,198.876,11.7276,
8200,569.191,193.644,12.1268,
8200,577.379,193.139,12.1457,
8200,578.062,187.98,11.7465,
8200,571.567,194.907,11.9,
8200,580.821,204.903,12.0868,
8400,596.685,205.218,12.5299,
8400,606.161,203.112,12.3744,
8400,600.681,201.901,12.4969,
8400,603.022,202.427,12.3088,
8400,604.067,202.259,12.3719,
8400,598.958,203.046,12.1029,
8400,609.311,204.09,12.2103,
8400,599.577,201.547,12.3014,
8400,608.033,206.89,12.4398,
8400,598.051,203.19,12.3436,
8600,626.043,213.094,12.5915,
8600,634.151,214.809,12.8232,
8600,622.31,210.982,12.8357,
8600,626.831,216.378,12.693,
8600,628.117,213.927,12.8006,
8600,630.534,213.134,12.7833,
8600,624.702,214.912,12.777,
8600,625.219,224.961,12.9138,
8600,645.912,211.182,12.7198,
8600,627.541,214.673,12.916,
8800,664.876,224.542,13.0594,
8800,662.831,221.78,13.0675,
8800,665.165,216.47,13.1716,
8800,656.515,221.815,13.59,
8800,668.503,232.738,13.3288,
8800,666.868,220.559,12.9558,
8800,665.424,223.42,13.2042,
8800,657.036,220.733,13.0913,
8800,661.962,225.809,12.8963,
8800,668.841,226.27,13.1656,
9000,701.055,236.364,13.5995,
9000,699.004,234.28,13.6077,
9000,695.031,236.909,13.7547,
9000,701.595,237.999,13.6745,
9000,683.343,232.774,13.564,
9000,701.662,238.999,13.4737,
9000,684.498,241.747,13.4916,
9000,698.157,235.023,13.6131,
9000,696.501,233.411,13.6209,
9000,687.092,234.325,13.9368,
9200,728.747,245.482,13.8563,
9200,726.23,244.743,13.9354,
9200,718.156,249.696,13.8814,
9200,730.471,255.245,13.9897,
9200,855.786,282.625,15.0198,
9200,729.347,247.432,13.8498,
9200,724.905,247.511,14.0561,
9200,729.1,240.779,14.1426,
9200,716.932,255.245,14.0018,
9200,739.057,248.838,14.0067,
9400,748.728,263.054,14.0604,
9400,758.204,265.825,14.2455,
9400,758.831,257.958,14.0743,
9400,760.077,263.705,14.271,
9400,757.925,263.822,13.9163,
9400,757.715,258.743,14.3109,
9400,756.6,253.088,14.4701,
9400,752.108,252.089,14.1673,
9400,765.352,262.133,14.1831,
9400,757.188,262.014,14.0409,
9600,796.137,278.139,14.8322,
9600,794.504,272.193,14.4863,
9600,790.824,272.562,14.6065,
9600,788.909,267.596,14.39,
9600,794.853,271.463,15.8617,
9600,785.25,278.634,14.5375,
9600,783.132,281.912,14.5599,
9600,788.537,265.085,14.9033,
9600,798.481,270.844,14.1686,
9600,789.44,276.953,14.6287,
9800,827.755,284.663,14.8283,
9800,817.004,288.812,15.3172,
9800,828.742,282.374,14.5405,
9800,814.139,293.676,14.5752,
9800,821.496,280.323,14.85,
9800,829.708,287.607,14.8503,
9800,826.91,281.029,14.8383,
9800,820.716,282.353,14.6639,
9800,818.171,290.25,14.7088,
9800,823.056,287.749,14.6454,
10000,852.244,299.057,14.8855,
10000,861.997,293.048,15.2224,
10000,857.544,301.725,15.0375,
10000,856.239,303.792,15.1248,
10000,849.001,307.58,15.085,
10000,849.634,301.31,15.1906,
10000,857.252,312.925,15.2532,
10000,870.564,303.921,15.2694,
10000,864.827,302.918,15.2492,
10000,864.666,296.947,15.9098,
